race_id,driver_id,team_id,stop_number,stop_lap,pits_time
100,109,8,2,18,24.311
100,111,8,2,18,24.195
100,12,15,2,22,39.707
100,117,11,2,23,25.015
100,104,13,2,32,28.918
100,114,13,2,33,23.241
100,115,10,2,33,24.651
100,57,2,2,34,24.135
100,108,4,2,34,23.702
100,94,3,2,35,32.254
100,106,1,2,35,23.755
100,79,4,2,35,24.436
100,110,2,2,36,24.509
100,75,3,2,38,24.801
100,60,14,2,41,38.157
100,101,15,2,45,24.711
100,110,2,3,54,23.947
101,103,14,1,17,23.509
101,75,3,1,23,24.892
101,111,8,1,23,23.826
101,115,10,1,24,23.679
101,94,3,1,25,22.487
101,106,1,1,28,22.193
101,57,2,1,29,23.194
101,93,1,1,29,23.469
101,114,13,1,29,22.468
101,108,4,1,31,22.585
101,101,15,1,33,22.343
101,110,2,1,34,22.795
101,60,14,1,38,22.534
101,109,8,1,38,23.182
101,87,10,1,38,23.722
101,83,11,1,39,23.863
101,12,15,1,40,23.159
101,104,13,1,40,29.168
101,103,14,2,40,23.119
101,79,4,1,44,22.280
101,117,11,1,45,24.218
101,111,8,2,52,24.039
101,110,2,2,69,23.118
102,109,8,1,4,24.361
102,94,3,1,7,30.942
102,106,1,1,7,30.080
102,12,15,1,14,23.478
102,117,11,1,16,24.332
102,93,1,1,17,25.206
102,104,13,1,19,23.460
102,114,13,1,20,23.287
102,111,8,1,20,28.807
102,106,1,2,21,23.172
102,75,3,1,23,22.869
102,94,3,2,23,31.682
102,110,2,1,24,23.521
102,108,4,1,24,29.338
102,83,11,1,24,23.908
102,101,15,1,24,23.868
